"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 17, 2016","1,674.27","1,676.90","1,689.70","1,672.62","8.40K","0.54%"
"Mar 16, 2016","1,665.31","1,664.99","1,672.59","1,660.42","8.37K","0.22%"
"Mar 15, 2016","1,661.64","1,675.59","1,681.47","1,657.89","6.31K","-0.66%"
"Mar 14, 2016","1,672.60","1,694.92","1,695.48","1,672.60","6.55K","-0.66%"
"Mar 11, 2016","1,683.72","1,676.29","1,686.79","1,674.68","5.88K","0.15%"
"Mar 10, 2016","1,681.13","1,659.86","1,681.13","1,657.68","8.86K","1.85%"
"Mar 09, 2016","1,650.56","1,649.74","1,652.43","1,638.30","8.49K","-0.49%"
"Mar 08, 2016","1,658.70","1,671.67","1,673.03","1,643.92","9.62K","-0.98%"
"Mar 07, 2016","1,675.17","1,690.69","1,693.92","1,674.62","10.21K","-0.73%"
"Mar 04, 2016","1,687.54","1,690.79","1,693.61","1,682.19","8.79K","-0.22%"
"Mar 03, 2016","1,691.25","1,696.36","1,696.74","1,674.88","14.77K","0.42%"
"Mar 02, 2016","1,684.10","1,685.00","1,691.18","1,682.18","10.64K","1.80%"
"Feb 29, 2016","1,654.25","1,654.84","1,660.96","1,644.65","9.53K","0.40%"
"Feb 26, 2016","1,647.68","1,653.28","1,655.44","1,643.45","5.75K","0.23%"
"Feb 25, 2016","1,643.83","1,640.87","1,657.17","1,640.49","9.54K","0.57%"
"Feb 24, 2016","1,634.50","1,622.76","1,644.70","1,617.66","14.21K","1.33%"
"Feb 23, 2016","1,612.99","1,626.32","1,628.74","1,605.67","8.13K","-0.21%"
"Feb 22, 2016","1,616.41","1,607.74","1,618.48","1,603.88","10.03K","0.57%"
"Feb 19, 2016","1,607.23","1,599.43","1,607.23","1,582.69","11.63K","0.28%"
"Feb 18, 2016","1,602.68","1,589.60","1,605.54","1,582.97","26.48K","2.74%"
"Feb 17, 2016","1,559.98","1,563.95","1,569.16","1,549.27","11.78K","0.26%"
"Feb 16, 2016","1,555.91","1,529.54","1,559.35","1,527.62","7.20K","2.09%"
"Feb 15, 2016","1,524.00","1,503.41","1,525.47","1,496.18","6.49K","3.06%"
"Feb 12, 2016","1,478.68","1,494.85","1,503.40","1,466.11","15.26K","-1.77%"
"Feb 11, 2016","1,505.40","1,530.62","1,537.63","1,502.38","7.93K","-5.18%"
"Feb 05, 2016","1,587.62","1,584.18","1,591.27","1,579.97","5.35K","-0.36%"
"Feb 04, 2016","1,593.29","1,594.47","1,597.68","1,585.88","7.35K","0.51%"
"Feb 03, 2016","1,585.21","1,596.32","1,597.19","1,581.12","9.37K","-1.95%"
"Feb 02, 2016","1,616.68","1,615.63","1,624.53","1,609.31","10.54K","-0.20%"
"Feb 01, 2016","1,619.89","1,593.11","1,619.89","1,584.38","11.39K","2.62%"
"Jan 29, 2016","1,578.52","1,580.34","1,581.46","1,558.28","7.97K","-0.22%"
"Jan 28, 2016","1,582.06","1,585.81","1,586.61","1,568.48","7.79K","-0.76%"
"Jan 27, 2016","1,594.13","1,583.60","1,595.71","1,576.07","10.21K","1.34%"
"Jan 26, 2016","1,573.02","1,588.41","1,600.33","1,573.02","9.75K","-1.51%"
"Jan 25, 2016","1,597.19","1,589.26","1,601.80","1,580.17","7.69K","1.56%"
"Jan 22, 2016","1,572.58","1,580.06","1,583.36","1,559.20","9.08K","0.78%"
"Jan 21, 2016","1,560.48","1,562.08","1,581.48","1,552.91","9.66K","-0.19%"
"Jan 20, 2016","1,563.38","1,603.10","1,605.11","1,548.27","14.01K","-2.86%"
"Jan 19, 2016","1,609.40","1,589.46","1,610.33","1,587.01","11.86K","1.56%"
"Jan 18, 2016","1,584.72","1,562.28","1,589.96","1,559.29","10.30K","-0.54%"
"Jan 15, 2016","1,593.36","1,622.49","1,630.18","1,584.23","16.47K","-0.54%"
"Jan 14, 2016","1,601.94","1,564.45","1,605.36","1,560.42","19.93K","0.84%"
"Jan 13, 2016","1,588.52","1,582.93","1,595.55","1,579.43","9.69K","1.25%"
"Jan 12, 2016","1,568.93","1,597.62","1,604.55","1,568.91","10.78K","-1.38%"
"Jan 11, 2016","1,590.93","1,618.51","1,620.21","1,589.41","9.88K","-2.85%"
"Jan 08, 2016","1,637.61","1,616.62","1,640.88","1,607.21","10.21K","0.53%"
"Jan 07, 2016","1,628.94","1,649.28","1,655.55","1,624.86","8.68K","-1.92%"
"Jan 06, 2016","1,660.86","1,672.11","1,674.16","1,641.81","10.83K","-0.40%"
"Jan 05, 2016","1,667.46","1,640.58","1,672.84","1,640.58","10.58K","0.82%"
"Jan 04, 2016","1,653.94","1,704.04","1,704.04","1,653.94","6.84K","-3.25%"
"Dec 30, 2015","1,709.43","1,707.93","1,715.76","1,703.75","7.50K","0.63%"
"Dec 29, 2015","1,698.77","1,689.73","1,703.52","1,678.92","6.76K","0.90%"
"Dec 28, 2015","1,683.64","1,697.06","1,697.81","1,681.40","6.86K","-0.42%"
"Dec 24, 2015","1,690.79","1,712.80","1,714.98","1,690.79","10.42K","-0.81%"
"Dec 23, 2015","1,704.53","1,693.01","1,714.51","1,687.81","11.13K","0.83%"
"Dec 22, 2015","1,690.44","1,680.89","1,690.52","1,667.44","12.03K","0.99%"
"Dec 21, 2015","1,673.84","1,658.70","1,675.55","1,657.64","7.07K","0.81%"
"Dec 18, 2015","1,660.42","1,630.20","1,664.82","1,629.01","7.79K","0.77%"
"Dec 17, 2015","1,647.68","1,645.43","1,650.30","1,628.32","8.10K","0.90%"
"Dec 16, 2015","1,632.99","1,616.59","1,637.55","1,616.48","8.15K","1.84%"
"Dec 15, 2015","1,603.53","1,592.34","1,605.80","1,590.22","5.82K","1.15%"
"Dec 14, 2015","1,585.27","1,600.60","1,601.03","1,583.82","8.31K","-2.51%"
"Dec 11, 2015","1,626.13","1,644.46","1,648.00","1,622.43","7.60K","-0.82%"
"Dec 10, 2015","1,639.58","1,632.50","1,644.19","1,627.39","9.34K","0.57%"
"Dec 09, 2015","1,630.24","1,631.47","1,638.71","1,629.51","9.79K","0.08%"
"Dec 08, 2015","1,628.98","1,643.32","1,645.44","1,624.89","9.01K","-0.99%"
"Dec 07, 2015","1,645.31","1,660.41","1,660.41","1,644.53","7.69K","-0.07%"
"Dec 04, 2015","1,646.39","1,632.44","1,648.87","1,630.31","7.19K","-0.37%"
"Dec 03, 2015","1,652.56","1,651.81","1,655.21","1,642.92","8.94K","-0.32%"
"Dec 02, 2015","1,657.79","1,680.22","1,681.66","1,657.23","7.40K","-0.87%"
"Dec 01, 2015","1,672.30","1,657.99","1,674.45","1,656.54","7.43K","1.25%"
"Nov 30, 2015","1,651.60","1,686.87","1,687.35","1,651.60","8.20K","-2.13%"
"Nov 27, 2015","1,687.54","1,725.12","1,727.15","1,687.54","10.16K","-1.35%"
"Nov 26, 2015","1,710.59","1,667.77","1,730.99","1,667.77","25.35K","3.18%"
"Nov 25, 2015","1,657.89","1,649.90","1,665.09","1,648.07","10.04K","0.84%"
"Nov 24, 2015","1,644.08","1,642.86","1,649.85","1,636.60","7.95K","-0.16%"
